As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
01/18/2012 12:00:00 AM,2015,,,KR,P0001,,,,,,,,,01/01/2015 12:00:00 AM,,,US,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0002,,,,,,,,,01/01/2015 12:00:00 AM,,,AW,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0003,,,,,,,,,01/01/2015 12:00:00 AM,,,AF,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0004,,,,,,,,,01/01/2015 12:00:00 AM,,,AO,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0005,,,,,,,,,01/05/2015 12:00:00 AM,,,AL,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0006,,,,,,,,,01/06/2015 12:00:00 AM,,,AD,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0007,,,,,,,,,01/07/2015 12:00:00 AM,,,AE,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0008,,,,,,,,,01/08/2015 12:00:00 AM,,,AR,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0009,,,,,,,,,01/09/2015 12:00:00 AM,,,AM,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0010,,,,,,,,,01/10/2015 12:00:00 AM,,,AS,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0011,,,,,,,,,01/11/2015 12:00:00 AM,,,AG,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0012,,,,,,,,,01/11/2015 12:00:00 AM,,,AU,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0013,,,,,,,,,01/11/2015 12:00:00 AM,,,AT,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0014,,,,,,,,,01/11/2015 12:00:00 AM,,,AZ,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0015,,,,,,,,,01/11/2015 12:00:00 AM,,,BI,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0016,,,,,,,,,01/12/2015 12:00:00 AM,,,BE,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0017,,,,,,,,,01/13/2015 12:00:00 AM,,,BJ,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0018,,,,,,,,,01/14/2015 12:00:00 AM,,,BF,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0019,,,,,,,,,01/15/2015 12:00:00 AM,,,BD,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0020,,,,,,,,,01/16/2015 12:00:00 AM,,,BG,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0021,,,,,,,,,01/17/2015 12:00:00 AM,,,BH,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0022,,,,,,,,,01/18/2015 12:00:00 AM,,,BS,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0023,,,,,,,,,01/18/2015 12:00:00 AM,,,BA,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0024,,,,,,,,,01/18/2015 12:00:00 AM,,,BY,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0025,,,,,,,,,01/18/2015 12:00:00 AM,,,BZ,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0026,,,,,,,,,01/18/2015 12:00:00 AM,,,BM,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0027,,,,,,,,,01/19/2015 12:00:00 AM,,,BO,$100.00,
01/18/2012 12:00:00 AM,2015,,,KR,P0028,,,,,,,,,01/20/2015 12:00:00 AM,,,BR,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0029,,,,,,,,,01/21/2015 12:00:00 AM,,,BB,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0030,,,,,,,,,01/23/2015 12:00:00 AM,,,BN,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0030,,,,,,,,,01/24/2015 12:00:00 AM,,,BT,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0030,,,,,,,,,01/25/2015 12:00:00 AM,,,BW,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/26/2015 12:00:00 AM,,,CF,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/27/2015 12:00:00 AM,,,CA,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/28/2015 12:00:00 AM,,,CH,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/29/2015 12:00:00 AM,,,JG,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/30/2015 12:00:00 AM,,,CL,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/30/2015 12:00:00 AM,,,CN,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0035,,,,,,,,,01/30/2015 12:00:00 AM,,,CI,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0040,,,,,,,,,01/30/2015 12:00:00 AM,,,CM,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0040,,,,,,,,,01/31/2015 12:00:00 AM,,,CD,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0040,,,,,,,,,01/31/2015 12:00:00 AM,,,CG,$100.00,
01/18/2012 12:00:00 AM,2015,,,US,P0040,,,,,,,,,01/31/2015 12:00:00 AM,,,CO,$100.00,